Mod:Item:MetaData, Localized Name
hbm:battery_trixite, Off-Brand Spark Battery
hbm:battery_sc_uranium, Self-Charging Uranium-238 Battery
hbm:battery_sc_technetium, Self-Charging Technetium-99 Battery
hbm:battery_sc_plutonium, Self-Charging Plutonium-238 Battery
hbm:battery_sc_polonium, Self-Charging Polonium-210 Battery
hbm:battery_sc_gold, Self-Charging Gold-198 Battery
hbm:battery_sc_lead, Self-Charging Lead-209 Battery
hbm:battery_sc_americium, Self-Charging Americium-241 Battery
hbm:battery_sc_balefire, Self-Charging Balefire-XXX Battery
hbm:battery_creative, Infinite Battery
hbm:battery_red_cell, Redstone Power Cell
hbm:battery_red_cell_6, Sixfold Redstone Power Cell
hbm:battery_red_cell_24, 24-Fold Redstone Power Cell
hbm:battery_advanced_cell, Advanced Power Cell
hbm:battery_advanced_cell_4, Quadruple Advanced Power Cell
hbm:battery_advanced_cell_12, Twelvefold Advanced Power Cell
hbm:battery_lithium_cell, Lithium-Ion Power Cell
hbm:battery_lithium_cell_3, Tripple Lithium-Ion Power Cell
hbm:battery_lithium_cell_6, Sixfold Lithium-Ion Power Cell
hbm:battery_schrabidium_cell, Schrabidium Power Cell
hbm:battery_schrabidium_cell_2, Double Schrabidium Power Cell
hbm:battery_schrabidium_cell_4, Quadruple Schrabidium Power Cell
hbm:battery_spark_cell_6, Spark Power Cell
hbm:battery_spark_cell_25, Spark Arcane Car Battery
hbm:battery_spark_cell_100, Spark Arcane Energy Storage Array
hbm:battery_spark_cell_1000, Spark Arcane Mass-Energy Void
hbm:battery_spark_cell_2500, Spark Arcane Dirac Sea
hbm:battery_spark_cell_10000, Spark Solid Space-Time Crystal
hbm:battery_spark_cell_power, Spark Ludicrous Physics-Defying Energy Storage Unit
hbm:battery_potato, Potato Battery
hbm:battery_potatos, PotatOS
hbm:battery_su, SU-Battery
hbm:battery_su_l, Large SU-Battery
hbm:battery_steam, Steam Powered Energy Storage Tank
hbm:battery_steam_large, Large Steam Powered Energy Storage Tank
hbm:fuse, Fuse
hbm:screwdriver, Screwdriver
hbm:hand_drill, Hand Drill
hbm:redcoil_capacitor, Redcoil Capacitor
hbm:titanium_filter, Titanium Filter
hbm:arc_electrode, Graphite Electrode
hbm:arc_electrode_burnt, Molten Electrode
hbm:arc_electrode_desh, Desh Electrode
hbm:particle_empty, Empty Particle Capsule
hbm:particle_hydrogen, Hydrogen Ion Capsule
hbm:particle_copper, Copper Ion Capsule
hbm:particle_lead, Lead Ion Capsule
hbm:particle_aproton, Antiproton Capsule
hbm:particle_aelectron, Positron Capsule
hbm:particle_amat, Antimatter Capsule
hbm:particle_aschrab, Antischrabidium Capsule
hbm:particle_higgs, Higgs Boson Capsule
hbm:particle_muon, Muon Capsule
hbm:particle_tachyon, Tachyon Capsule
hbm:particle_strange, Strange Quark Capsule
hbm:particle_dark, Dark Matter Capsule
hbm:particle_sparkticle, Sparkticle Capsule
hbm:particle_digamma, §cThe Digamma Particle§r
hbm:singularity, Singularity
hbm:singularity_counter_resonant, Contained Counter-Resonant Singularity
hbm:singularity_super_heated, Superheated Resonating Singularity
hbm:black_hole, Miniature Black Hole
hbm:singularity_spark, Spark Singularity
hbm:pellet_antimatter, Antimatter Cluster
hbm:crystal_xen, Artificial Xen Crystal
hbm:overfuse, Singularity Screwdriver
hbm:piston_selenium, Radial Engine Piston
hbm:crystal_energy, Energy Crystal
hbm:pellet_coolant, Coolant Cluster
hbm:canister_fuel, Diesel Canister
hbm:canister_napalm, Napalm B
hbm:fluid_tank_full:0, Empty Universal Fluid Tank
hbm:fluid_tank_full:0, Universal Fluid Tank: Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Lava
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Hydrogen
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Oxygen
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Chlorine
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Sulfur Dioxide
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Sulfur Trioxide
hbm:fluid_tank_full:0, Universal Fluid Tank: Sulfuric Acid
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Hydrogen Chloride
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Ethylene
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Sodium
hbm:fluid_tank_full:0, Universal Fluid Tank: Brine
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Deuterium
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Tritium
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid D-T Fuel
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Lithium
hbm:fluid_tank_full:0, Universal Fluid Tank: Heavy Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Canola Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Refined Canola Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Crystallized Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Empowered Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Poison
hbm:fluid_tank_full:0, Universal Fluid Tank: Amber
hbm:fluid_tank_full:0, Universal Fluid Tank: Biomass
hbm:fluid_tank_full:0, Universal Fluid Tank: Crystallized Obsidian
hbm:fluid_tank_full:0, Universal Fluid Tank: Milk
hbm:fluid_tank_full:0, Universal Fluid Tank: XP
hbm:fluid_tank_full:0, Universal Fluid Tank: Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Gasoline
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Oxygen
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Hydrogen
hbm:fluid_tank_full:0, Universal Fluid Tank: Oil (§6Hot§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Oil (§cSearing§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Residue (§bCool§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Residue (§6Hot§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Residue (§cSearing§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Heavy Oil (§bCool§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Heavy Oil (§6Hot§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Heavy Oil (§cSearing§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Dense Oil (§bCool§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Dense Oil (§6Hot§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Dense Oil (§cSearing§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Distilled Oil (§bCool§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Distilled Oil (§6Hot§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Distilled Oil (§cSearing§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Dense Fuel (§bCool§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Dense Fuel (§6Hot§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Dense Fuel (§cSearing§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Mixed Heavy Fuels (§bCool§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Mixed Heavy Fuels (§6Hot§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Mixed Heavy Fuels (§cSearing§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Light Fuel (§bCool§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Light Fuel (§6Hot§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Light Fuel (§cSearing§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Mixed Light Fuels (§bCool§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Mixed Light Fuels (§6Hot§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Mixed Light Fuels (§cSearing§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Gaseous Fuel (§bCool§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Gaseous Fuel (§6Hot§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Gaseous Fuel (§cSearing§r)
hbm:fluid_tank_full:0, Universal Fluid Tank: Creosote Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquifacted Coal
hbm:fluid_tank_full:0, Universal Fluid Tank: Crude Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Naphtha
hbm:fluid_tank_full:0, Universal Fluid Tank: Refined Fuel
hbm:fluid_tank_full:0, Universal Fluid Tank: Sap
hbm:fluid_tank_full:0, Universal Fluid Tank: Syrup
hbm:fluid_tank_full:0, Universal Fluid Tank: Resin
hbm:fluid_tank_full:0, Universal Fluid Tank: Tree Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Seed Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Biocrude
hbm:fluid_tank_full:0, Universal Fluid Tank: Grassoline
hbm:fluid_tank_full:0, Universal Fluid Tank: Mushroom Stew
hbm:fluid_tank_full:0, Universal Fluid Tank: Essence of Knowledge
hbm:fluid_tank_full:0, Universal Fluid Tank: Potion
hbm:fluid_tank_full:0, Universal Fluid Tank: Splash Potion
hbm:fluid_tank_full:0, Universal Fluid Tank: Lingering Potion
hbm:fluid_tank_full:0, Universal Fluid Tank: Destabilized Redstone
hbm:fluid_tank_full:0, Universal Fluid Tank: Energized Glowstone
hbm:fluid_tank_full:0, Universal Fluid Tank: Resonant Ender
hbm:fluid_tank_full:0, Universal Fluid Tank: Blazing Pyrotheum
hbm:fluid_tank_full:0, Universal Fluid Tank: Gelid Cryotheum
hbm:fluid_tank_full:0, Universal Fluid Tank: Zephyrean Aerotheum
hbm:fluid_tank_full:0, Universal Fluid Tank: Tectonic Petrotheum
hbm:fluid_tank_full:0, Universal Fluid Tank: Primal Mana
hbm:fluid_tank_full:0, Universal Fluid Tank: Bacterial Sludge
hbm:fluid_tank_full:0, Universal Fluid Tank: Methane Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: Atmospheric Gases
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Methane
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Nitrogen
hbm:fluid_tank_full:0, Universal Fluid Tank: Nitrogen Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: CO2 Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: Argon Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Argon
hbm:fluid_tank_full:0, Universal Fluid Tank: Helium Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: Sulphuric Acid
hbm:fluid_tank_full:0, Universal Fluid Tank: Syngas
hbm:fluid_tank_full:0, Universal Fluid Tank: Dense Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Super Dense Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Ultra Dense Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Coolant
hbm:fluid_tank_full:0, Universal Fluid Tank: Deuterium
hbm:fluid_tank_full:0, Universal Fluid Tank: Tritium
hbm:fluid_tank_full:0, Universal Fluid Tank: Hot Crude Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Heavy Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Bitumen
hbm:fluid_tank_full:0, Universal Fluid Tank: Industrial Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Heating Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Reclaimed Industrial Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Petroil
hbm:fluid_tank_full:0, Universal Fluid Tank: Lubricant
hbm:fluid_tank_full:0, Universal Fluid Tank: Naphtha
hbm:fluid_tank_full:0, Universal Fluid Tank: Diesel
hbm:fluid_tank_full:0, Universal Fluid Tank: Light Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Kerosene
hbm:fluid_tank_full:0, Universal Fluid Tank: Natural Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: Petroleum Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: Biogas
hbm:fluid_tank_full:0, Universal Fluid Tank: Biofuel
hbm:fluid_tank_full:0, Universal Fluid Tank: NITAN© 100 Octane Super Fuel
hbm:fluid_tank_full:0, Universal Fluid Tank: Uranium Hexafluoride
hbm:fluid_tank_full:0, Universal Fluid Tank: Plutonium Hexafluoride
hbm:fluid_tank_full:0, Universal Fluid Tank: Schrabidium Trisulfide
hbm:fluid_tank_full:0, Universal Fluid Tank: Antimatter
hbm:fluid_tank_full:0, Universal Fluid Tank: Antischrabidium
hbm:fluid_tank_full:0, Universal Fluid Tank: Hydrogen Peroxide
hbm:fluid_tank_full:0, Universal Fluid Tank: Poisonous Mud
hbm:fluid_tank_full:0, Universal Fluid Tank: Cryogel
hbm:fluid_tank_full:0, Universal Fluid Tank: Xenon Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: BF Rocket Fuel
hbm:fluid_tank_full:0, Universal Fluid Tank: Mercury
hbm:fluid_tank_full:0, Universal Fluid Tank: Deuterium-Tritium Plasma
hbm:fluid_tank_full:0, Universal Fluid Tank: Hydrogen-Deuterium Plasma
hbm:fluid_tank_full:0, Universal Fluid Tank: Hydrogen-Tritium Plasma
hbm:fluid_tank_full:0, Universal Fluid Tank: Xenon-Mercury Plasma
hbm:fluid_tank_full:0, Universal Fluid Tank: Balefire Plasma
hbm:fluid_tank_full:0, Universal Fluid Tank: Pandemonium(III)tantalite Solution
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Nuclear Waste
hbm:fluid_tank_full:0, Universal Fluid Tank: Gaseous Nuclear Waste
hbm:fluid_tank_full:0, Universal Fluid Tank: Gasoline
hbm:fluid_tank_full:0, Universal Fluid Tank: Low-Pressure Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Stereotypical Green Ooze
hbm:fluid_tank_full:0, Universal Fluid Tank: Radiated Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Poisonous Mud
hbm:fluid_tank_full:0, Universal Fluid Tank: Schrabidic Acid
hbm:fluid_tank_full:0, Universal Fluid Tank: Corium
hbm:fluid_tank_full:0, Universal Fluid Tank: Volcanic Lava
hbm:fluid_tank_full:0, Universal Fluid Tank: Plant Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Ethanol
hbm:fluid_tank_full:0, Universal Fluid Tank: Biodiesel
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Concrete
hbm:fluid_tank_full:0, Universal Fluid Tank: Napalm
hbm:fluid_tank_full:0, Universal Fluid Tank: Essence
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Meat
hbm:fluid_tank_full:0, Universal Fluid Tank: Latex
hbm:fluid_tank_full:0, Universal Fluid Tank: Sewage
hbm:fluid_tank_full:0, Universal Fluid Tank: Sludge
hbm:fluid_tank_full:0, Universal Fluid Tank: Pink Slime
hbm:fluid_tank_full:0, Universal Fluid Tank: Protein
hbm:fluid_tank_full:0, Universal Fluid Tank: Raw Ore Meat
hbm:fluid_tank_full:0, Universal Fluid Tank: Fermented Ore Meat
hbm:fluid_tank_full:0, Universal Fluid Tank: Exhaust Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Distilled Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Flue Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: High Pressure Steam
hbm:fluid_tank_full:0, Universal Fluid Tank: Hot Spring Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Salt
hbm:fluid_tank_full:0, Universal Fluid Tank: Molten Sodium
hbm:fluid_tank_full:0, Universal Fluid Tank: Superheated Molten Sodium
hbm:fluid_tank_full:0, Universal Fluid Tank: Chlorine
hbm:fluid_tank_full:0, Universal Fluid Tank: Creeper Acid
hbm:fluid_tank_full:0, Universal Fluid Tank: Infected Purlonite Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Infected Purlonite Lava
hbm:fluid_tank_full:0, Universal Fluid Tank: Cheese Milk
hbm:fluid_tank_full:0, Universal Fluid Tank: Gaseous Cheese Milk
hbm:fluid_tank_full:0, Universal Fluid Tank: Infected Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Helium Gas
hbm:fluid_tank_full:0, Universal Fluid Tank: Nuclear Waste
hbm:fluid_tank_full:0, Universal Fluid Tank: Purified Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Etching Acid
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Plastic
hbm:fluid_tank_full:0, Universal Fluid Tank: LPG
hbm:fluid_tank_full:0, Universal Fluid Tank: Olive Oil
hbm:fluid_tank_full:0, Universal Fluid Tank: Ironberry Juice
hbm:fluid_tank_full:0, Universal Fluid Tank: Wildberry Juice
hbm:fluid_tank_full:0, Universal Fluid Tank: Grape Juice
hbm:fluid_tank_full:0, Universal Fluid Tank: Apple Juice
hbm:fluid_tank_full:0, Universal Fluid Tank: Ale Wort
hbm:fluid_tank_full:0, Universal Fluid Tank: Honey
hbm:fluid_tank_full:0, Universal Fluid Tank: Ale
hbm:fluid_tank_full:0, Universal Fluid Tank: Cider
hbm:fluid_tank_full:0, Universal Fluid Tank: Iron Wine
hbm:fluid_tank_full:0, Universal Fluid Tank: Mead
hbm:fluid_tank_full:0, Universal Fluid Tank: Wildberry Wine
hbm:fluid_tank_full:0, Universal Fluid Tank: Wine
hbm:fluid_tank_full:0, Universal Fluid Tank: Nutrient Distillation
hbm:fluid_tank_full:0, Universal Fluid Tank: Dew of the Void
hbm:fluid_tank_full:0, Universal Fluid Tank: Vapor of Levity
hbm:fluid_tank_full:0, Universal Fluid Tank: Hootch
hbm:fluid_tank_full:0, Universal Fluid Tank: Rocket Fuel
hbm:fluid_tank_full:0, Universal Fluid Tank: Fire Water
hbm:fluid_tank_full:0, Universal Fluid Tank: Liquid Sunshine
hbm:fluid_tank_full:0, Universal Fluid Tank: Cloud Seed
hbm:fluid_tank_full:0, Universal Fluid Tank: Concentrated Cloud Seed
hbm:fluid_tank_full:0, Universal Fluid Tank: Fluid Yellorium
hbm:fluid_tank_full:0, Universal Fluid Tank: Fluid Cyanite
hbm:fluid_tank_full:0, Universal Fluid Tank: fluid.fuelcolumn
hbm:fluid_tank_full:0, Universal Fluid Tank: Ichor
hbm:fluid_barrel_full:0, Empty Fluid Barrel
hbm:fluid_barrel_full:0, Fluid Barrel: Water
hbm:fluid_barrel_full:0, Fluid Barrel: Lava
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Hydrogen
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Oxygen
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Chlorine
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Sulfur Dioxide
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Sulfur Trioxide
hbm:fluid_barrel_full:0, Fluid Barrel: Sulfuric Acid
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Hydrogen Chloride
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Ethylene
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Sodium
hbm:fluid_barrel_full:0, Fluid Barrel: Brine
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Deuterium
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Tritium
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid D-T Fuel
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Lithium
hbm:fluid_barrel_full:0, Fluid Barrel: Heavy Water
hbm:fluid_barrel_full:0, Fluid Barrel: Steam
hbm:fluid_barrel_full:0, Fluid Barrel: Canola Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Refined Canola Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Crystallized Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Empowered Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Poison
hbm:fluid_barrel_full:0, Fluid Barrel: Amber
hbm:fluid_barrel_full:0, Fluid Barrel: Biomass
hbm:fluid_barrel_full:0, Fluid Barrel: Crystallized Obsidian
hbm:fluid_barrel_full:0, Fluid Barrel: Milk
hbm:fluid_barrel_full:0, Fluid Barrel: XP
hbm:fluid_barrel_full:0, Fluid Barrel: Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Gasoline
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Oxygen
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Hydrogen
hbm:fluid_barrel_full:0, Fluid Barrel: Oil (§6Hot§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Oil (§cSearing§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Residue (§bCool§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Residue (§6Hot§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Residue (§cSearing§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Heavy Oil (§bCool§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Heavy Oil (§6Hot§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Heavy Oil (§cSearing§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Dense Oil (§bCool§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Dense Oil (§6Hot§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Dense Oil (§cSearing§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Distilled Oil (§bCool§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Distilled Oil (§6Hot§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Distilled Oil (§cSearing§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Dense Fuel (§bCool§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Dense Fuel (§6Hot§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Dense Fuel (§cSearing§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Mixed Heavy Fuels (§bCool§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Mixed Heavy Fuels (§6Hot§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Mixed Heavy Fuels (§cSearing§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Light Fuel (§bCool§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Light Fuel (§6Hot§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Light Fuel (§cSearing§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Mixed Light Fuels (§bCool§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Mixed Light Fuels (§6Hot§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Mixed Light Fuels (§cSearing§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Gaseous Fuel (§bCool§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Gaseous Fuel (§6Hot§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Gaseous Fuel (§cSearing§r)
hbm:fluid_barrel_full:0, Fluid Barrel: Creosote Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Liquifacted Coal
hbm:fluid_barrel_full:0, Fluid Barrel: Crude Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Naphtha
hbm:fluid_barrel_full:0, Fluid Barrel: Refined Fuel
hbm:fluid_barrel_full:0, Fluid Barrel: Sap
hbm:fluid_barrel_full:0, Fluid Barrel: Syrup
hbm:fluid_barrel_full:0, Fluid Barrel: Resin
hbm:fluid_barrel_full:0, Fluid Barrel: Tree Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Seed Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Biocrude
hbm:fluid_barrel_full:0, Fluid Barrel: Grassoline
hbm:fluid_barrel_full:0, Fluid Barrel: Mushroom Stew
hbm:fluid_barrel_full:0, Fluid Barrel: Essence of Knowledge
hbm:fluid_barrel_full:0, Fluid Barrel: Potion
hbm:fluid_barrel_full:0, Fluid Barrel: Splash Potion
hbm:fluid_barrel_full:0, Fluid Barrel: Lingering Potion
hbm:fluid_barrel_full:0, Fluid Barrel: Destabilized Redstone
hbm:fluid_barrel_full:0, Fluid Barrel: Energized Glowstone
hbm:fluid_barrel_full:0, Fluid Barrel: Resonant Ender
hbm:fluid_barrel_full:0, Fluid Barrel: Blazing Pyrotheum
hbm:fluid_barrel_full:0, Fluid Barrel: Gelid Cryotheum
hbm:fluid_barrel_full:0, Fluid Barrel: Zephyrean Aerotheum
hbm:fluid_barrel_full:0, Fluid Barrel: Tectonic Petrotheum
hbm:fluid_barrel_full:0, Fluid Barrel: Primal Mana
hbm:fluid_barrel_full:0, Fluid Barrel: Bacterial Sludge
hbm:fluid_barrel_full:0, Fluid Barrel: Methane Gas
hbm:fluid_barrel_full:0, Fluid Barrel: Atmospheric Gases
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Methane
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Nitrogen
hbm:fluid_barrel_full:0, Fluid Barrel: Nitrogen Gas
hbm:fluid_barrel_full:0, Fluid Barrel: CO2 Gas
hbm:fluid_barrel_full:0, Fluid Barrel: Argon Gas
hbm:fluid_barrel_full:0, Fluid Barrel: Liquid Argon
hbm:fluid_barrel_full:0, Fluid Barrel: Helium Gas
hbm:fluid_barrel_full:0, Fluid Barrel: Sulphuric Acid
hbm:fluid_barrel_full:0, Fluid Barrel: Syngas
hbm:fluid_barrel_full:0, Fluid Barrel: Dense Steam
hbm:fluid_barrel_full:0, Fluid Barrel: Super Dense Steam
hbm:fluid_barrel_full:0, Fluid Barrel: Ultra Dense Steam
hbm:fluid_barrel_full:0, Fluid Barrel: Coolant
hbm:fluid_barrel_full:0, Fluid Barrel: Deuterium
hbm:fluid_barrel_full:0, Fluid Barrel: Tritium
hbm:fluid_barrel_full:0, Fluid Barrel: Hot Crude Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Heavy Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Bitumen
hbm:fluid_barrel_full:0, Fluid Barrel: Industrial Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Heating Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Reclaimed Industrial Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Petroil
hbm:fluid_barrel_full:0, Fluid Barrel: Lubricant
hbm:fluid_barrel_full:0, Fluid Barrel: Naphtha
hbm:fluid_barrel_full:0, Fluid Barrel: Diesel
hbm:fluid_barrel_full:0, Fluid Barrel: Light Oil
hbm:fluid_barrel_full:0, Fluid Barrel: Kerosene
hbm:fluid_barrel_full:0, Fluid Barrel: Natural Gas
hbm:fluid_barrel_full:0, Fluid Barrel: Petroleum Gas
hbm:fluid_barrel_full:0, Fluid Barrel: Biogas
hbm:fluid_barrel_full:0, Fluid Barrel: Biofuel
hbm:fluid_barrel_full:0, Fluid Barrel: NITAN© 100 Octane Super Fuel
hbm:fluid_barrel_full:0, Fluid Barrel: Uranium Hexafluoride
hbm:fluid_barrel_full:0, Fluid Barrel: Plutonium Hexafluoride
hbm:fluid_barrel_full:0, Fluid Barrel: Schrabidium Trisulfide
hbm:fluid_barrel_full:0, Fluid Barrel: Antimatter
hbm:fluid_barrel_full:0, Fluid Barrel: Antischrabidium
hbm:fluid_barrel_full:0, Fluid Barrel: Hydrogen Peroxide
hbm:fluid_barrel_full:0, Fluid Barrel: Poisonous Mud
hbm:fluid_barrel_full:0, Fluid Barrel: Cryogel
hbm:fluid_barrel_full:0, Fluid Barrel: Xenon Gas
hbm:fluid_barrel_full:0, Fluid Barrel: BF Rocket Fuel
hbm:fluid_barrel_full:0, Fluid Barrel: Mercury
hbm:fluid_barrel_full:0, Fluid Barrel: Deuterium-Tritium Plasma
hbm:fluid_barrel_full:0, Fluid Barrel: Hydrogen-Deuterium Plasma
hbm:fluid_barrel_full:0, Fluid Barrel: Hydrogen-Tritium Plasma
